COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,STATE CODE,LOCALITY ID,LATITUDE,LONGITUDE,OBSERVATION DATE,Year,Month,Day,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-15,27,,,06:00:00,obsr17458,S9047468,eBird - Traveling Count,90,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-16,27,,,07:30:00,obsr17458,S9295654,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,3,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-24,27,,,07:00:00,obsr17458,S9129336,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L481850,-13.0774718,-69.5805359,2004-10-27,27,,,05:00:00,obsr182152,S11999567,eBird - Traveling Count,9,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-19,27,,,07:00:00,obsr17458,S9323879,eBird - Traveling Count,540,8.047,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L481850,-13.0774718,-69.5805359,1995-08-25,27,,,05:00:00,obsr24607,S8267519,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-12,27,,,07:50:00,obsr17458,S9047288,eBird - Traveling Count,370,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-23,27,,,06:50:00,obsr17458,S9124377,eBird - Traveling Count,370,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-05,27,,,07:30:00,obsr17458,S9230069,eBird - Traveling Count,300,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-08,27,,,07:30:00,obsr17458,S9248236,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,6,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-26,27,,,07:00:00,obsr17458,S9129731,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-11,27,,,08:00:00,obsr17458,S9266001,eBird - Traveling Count,270,1.609,1,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-27,27,,,07:00:00,obsr17458,S9134988,eBird - Traveling Count,611,8.047,1,1,
Plain Tyrannulet,Inezia inornata,4,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-20,27,,,07:00:00,obsr17458,S9109272,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-14,27,,,07:00:00,obsr17458,S9047439,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,5,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-22,27,,,07:30:00,obsr17458,S9783968,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,10,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-15,27,,,07:30:00,obsr17458,S9278819,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-16,27,,,07:00:00,obsr17458,S9053363,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-19,27,,,07:00:00,obsr17458,S9109150,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,X,BO-S,L831297,-17.7664245,-63.0697632,2000-08-16,27,,,,obsr37316,S29487244,Historical,,,,0,
